"ccode1","ccode2","eligible","origin","label","probability"
"42","235",TRUE,0,0,0
"51","235",TRUE,0,0,0
"52","235",TRUE,0,0,0
"53","235",TRUE,0,0,0
"70","235",TRUE,0,0,0
"80","235",TRUE,0,0,0
"90","235",TRUE,0,0,0
"91","235",TRUE,0,0,0
"92","235",TRUE,0,0,0
"93","235",TRUE,0,0,0
"94","235",TRUE,0,0,0.002
"95","235",TRUE,0,0,0
"100","235",TRUE,0,0,0
"101","235",TRUE,0,0,0.001
"115","235",TRUE,0,0,0
"130","235",TRUE,0,0,0
"135","235",TRUE,0,0,0.001
"140","235",TRUE,1,1,0.954
"145","235",TRUE,0,0,0
"150","235",TRUE,0,0,0
"155","235",TRUE,0,0,0
"160","235",TRUE,1,1,0.956
"165","235",TRUE,0,0,0
"200","235",TRUE,0,0,0
"205","235",TRUE,0,0,0
"210","235",TRUE,0,0,0
"211","235",TRUE,0,0,0
"212","235",TRUE,0,0,0
"220","235",TRUE,1,1,0.994
"225","235",TRUE,0,0,0.005
"230","235",TRUE,1,0,1
"2","255",TRUE,0,0,0
"20","255",TRUE,0,0,0
"31","255",TRUE,0,0,0.003
"41","255",TRUE,0,0,0.003
"42","255",TRUE,0,0,0.001
"51","255",TRUE,0,0,0.003
"52","255",TRUE,0,0,0.004
"53","255",TRUE,0,0,0.003
"70","255",TRUE,0,0,0.003
"80","255",TRUE,0,0,0.002
"90","255",TRUE,0,0,0.002
"91","255",TRUE,0,0,0.004
"92","255",TRUE,0,0,0
"93","255",TRUE,0,0,0.002
"94","255",TRUE,0,0,0.001
"95","255",TRUE,0,0,0.003
"100","255",TRUE,0,0,0.001
"101","255",TRUE,0,0,0
"115","255",TRUE,0,0,0.003
"130","255",TRUE,0,0,0.003
"135","255",TRUE,0,0,0
"140","255",TRUE,0,0,0.005
"145","255",TRUE,0,0,0
"150","255",TRUE,0,0,0.001
"155","255",TRUE,0,0,0
"160","255",TRUE,0,0,0.003
"165","255",TRUE,0,0,0.002
"200","255",TRUE,0,0,0.016
"205","255",TRUE,0,0,0.027
"210","255",TRUE,0,0,0.003
"211","255",TRUE,0,0,0.004
"212","255",TRUE,0,0,0.001
"220","255",TRUE,0,0,0.015
"225","255",TRUE,0,0,0.074
"230","255",TRUE,0,0,0.003
"235","255",TRUE,0,0,0
"2","260",FALSE,NA,NA,0
"20","260",FALSE,NA,NA,0
"31","260",FALSE,NA,NA,0
"41","260",FALSE,NA,NA,0
"42","260",FALSE,NA,NA,0
"51","260",FALSE,NA,NA,0
"52","260",FALSE,NA,NA,0
"53","260",FALSE,NA,NA,0
"70","260",FALSE,NA,NA,0
"80","260",FALSE,NA,NA,0
"90","260",FALSE,NA,NA,0
"91","260",FALSE,NA,NA,0
"92","260",FALSE,NA,NA,0
"93","260",FALSE,NA,NA,0
"94","260",FALSE,NA,NA,0
"95","260",FALSE,NA,NA,0
"100","260",FALSE,NA,NA,0
"101","260",FALSE,NA,NA,0
"115","260",FALSE,NA,NA,0
"130","260",FALSE,NA,NA,0
"135","260",FALSE,NA,NA,0
"140","260",FALSE,NA,NA,0
"145","260",FALSE,NA,NA,0
"150","260",FALSE,NA,NA,0
"155","260",FALSE,NA,NA,0
"160","260",FALSE,NA,NA,0
"165","260",FALSE,NA,NA,0
"200","260",FALSE,NA,NA,0
"205","260",FALSE,NA,NA,0
"210","260",FALSE,NA,NA,0
"211","260",FALSE,NA,NA,0
"212","260",FALSE,NA,NA,0
"220","260",FALSE,NA,NA,0
"225","260",FALSE,NA,NA,0
"230","260",FALSE,NA,NA,0
"235","260",FALSE,NA,NA,0
"255","260",FALSE,NA,NA,0
"2","290",TRUE,0,0,0.003
"20","290",TRUE,0,0,0.001
"31","290",TRUE,0,0,0.002
"41","290",TRUE,0,0,0.002
"42","290",TRUE,0,0,0
"51","290",TRUE,0,0,0.001
"52","290",TRUE,0,0,0.002
"53","290",TRUE,0,0,0.002
"70","290",TRUE,0,0,0.001
"80","290",TRUE,0,0,0
"90","290",TRUE,0,0,0.001
"91","290",TRUE,0,0,0.001
"92","290",TRUE,0,0,0.002
"93","290",TRUE,0,0,0.001
"94","290",TRUE,0,0,0.002
"95","290",TRUE,0,0,0
"100","290",TRUE,0,0,0.001
"101","290",TRUE,0,0,0.003
"115","290",TRUE,0,0,0
"130","290",TRUE,0,0,0.001
"135","290",TRUE,0,0,0.002
"140","290",TRUE,0,0,0.001
"145","290",TRUE,0,0,0
"150","290",TRUE,0,0,0
"155","290",TRUE,0,0,0
"160","290",TRUE,0,0,0.002
"165","290",TRUE,0,0,0.001
"200","290",TRUE,0,0,0.017
"205","290",TRUE,0,0,0.01
"210","290",TRUE,0,0,0.001
"211","290",TRUE,0,0,0
"212","290",TRUE,0,0,0
"220","290",TRUE,1,1,1
"225","290",TRUE,0,0,0.04
"230","290",TRUE,1,1,1
"235","290",TRUE,0,0,0.003
"255","290",TRUE,1,1,0.999
"260","290",FALSE,NA,NA,0
"2","305",TRUE,0,0,0.001
"20","305",TRUE,0,0,0
"31","305",TRUE,0,0,0
"41","305",TRUE,0,0,0
"42","305",TRUE,0,0,0
"51","305",TRUE,0,0,0
"52","305",TRUE,0,0,0.001
"53","305",TRUE,0,0,0
"70","305",TRUE,0,0,0
"80","305",TRUE,0,0,0
"90","305",TRUE,0,0,0
"91","305",TRUE,0,0,0
"92","305",TRUE,0,0,0
"93","305",TRUE,0,0,0
"94","305",TRUE,0,0,0
"95","305",TRUE,0,0,0
"100","305",TRUE,0,0,0
"101","305",TRUE,0,0,0
"115","305",TRUE,0,0,0
"130","305",TRUE,0,0,0
"135","305",TRUE,0,0,0
