"ccode1","ccode2","eligible","origin","label","probability"
"20","150",TRUE,0,0,0.001
"31","150",TRUE,0,0,0
"41","150",TRUE,0,0,0.002
"42","150",TRUE,0,0,0.002
"51","150",TRUE,0,0,0.001
"52","150",TRUE,0,0,0.002
"53","150",TRUE,0,0,0.001
"70","150",TRUE,0,0,0.01
"80","150",TRUE,0,0,0.001
"90","150",TRUE,0,0,0.001
"91","150",TRUE,0,0,0.001
"92","150",TRUE,0,0,0
"93","150",TRUE,0,0,0.001
"94","150",TRUE,0,0,0.002
"95","150",TRUE,0,0,0
"100","150",TRUE,0,0,0.01
"101","150",TRUE,0,0,0.003
"115","150",TRUE,0,0,0.002
"130","150",TRUE,0,0,0
"135","150",TRUE,0,0,0.007
"140","150",TRUE,0,1,0.107
"145","150",TRUE,0,0,0.001
"2","155",TRUE,0,0,0.054
"20","155",TRUE,0,0,0.001
"31","155",TRUE,0,0,0.003
"41","155",TRUE,0,0,0
"42","155",TRUE,0,0,0.006
"51","155",TRUE,0,0,0.003
"52","155",TRUE,0,0,0.002
"53","155",TRUE,0,0,0.007
"70","155",TRUE,0,0,0.005
"80","155",TRUE,0,0,0.003
"90","155",TRUE,1,1,0.96
"91","155",TRUE,0,0,0.015
"92","155",TRUE,0,0,0.004
"93","155",TRUE,0,0,0.011
"94","155",TRUE,0,0,0.002
"95","155",TRUE,0,0,0.008
"100","155",TRUE,0,0,0.001
"101","155",TRUE,0,0,0.009
"115","155",TRUE,0,0,0.003
"130","155",TRUE,0,0,0.006
"135","155",TRUE,0,0,0.103
"140","155",TRUE,0,1,0.054
"145","155",TRUE,0,0,0.016
"150","155",TRUE,0,0,0.014
"2","160",TRUE,0,0,0.091
"20","160",TRUE,0,0,0
"31","160",TRUE,0,0,0.001
"41","160",TRUE,0,0,0.008
"42","160",TRUE,0,0,0.007
"51","160",TRUE,0,0,0.006
"52","160",TRUE,0,0,0.006
"53","160",TRUE,0,0,0.008
"70","160",TRUE,0,0,0.008
"80","160",TRUE,0,0,0.004
"90","160",TRUE,0,0,0.035
"91","160",TRUE,1,1,0.969
"92","160",TRUE,0,0,0.01
"93","160",TRUE,0,0,0.01
"94","160",TRUE,0,0,0.005
"95","160",TRUE,0,0,0.01
"100","160",TRUE,0,0,0.051
"101","160",TRUE,1,1,0.963
"115","160",TRUE,0,0,0.01
"130","160",TRUE,0,1,0.005
"135","160",TRUE,0,0,0.084
"140","160",TRUE,1,1,0.999
"145","160",TRUE,0,0,0.028
"150","160",TRUE,0,0,0.061
"155","160",TRUE,0,0,0.136
"2","165",TRUE,0,0,0.004
"20","165",TRUE,0,0,0
"31","165",TRUE,0,0,0.001
"41","165",TRUE,0,0,0
"42","165",TRUE,0,0,0
"51","165",TRUE,0,0,0
"52","165",TRUE,0,0,0.001
"53","165",TRUE,0,0,0
"70","165",TRUE,0,0,0.003
"80","165",TRUE,0,0,0.001
"90","165",TRUE,0,0,0
"91","165",TRUE,0,0,0.001
"92","165",TRUE,0,0,0
"93","165",TRUE,0,0,0.001
"94","165",TRUE,0,0,0
"95","165",TRUE,0,0,0.002
"100","165",TRUE,0,0,0.005
"101","165",TRUE,0,0,0
"115","165",TRUE,0,0,0
"130","165",TRUE,0,0,0
"135","165",TRUE,0,0,0.009
"140","165",TRUE,0,0,0.037
"145","165",TRUE,0,0,0.001
"150","165",TRUE,0,0,0.007
"155","165",TRUE,0,0,0.033
"160","165",TRUE,0,0,0.059
"2","200",TRUE,1,1,0.999
"20","200",TRUE,0,0,0.001
"31","200",TRUE,0,0,0.003
"41","200",TRUE,0,0,0.002
"42","200",TRUE,0,0,0.002
"51","200",TRUE,0,0,0.004
"52","200",TRUE,0,0,0.002
"53","200",TRUE,0,0,0.005
"70","200",TRUE,0,0,0.004
"80","200",TRUE,0,0,0.006
"90","200",TRUE,0,0,0.006
"91","200",TRUE,0,0,0.029
"92","200",TRUE,0,0,0.002
"93","200",TRUE,0,0,0.005
"94","200",TRUE,0,0,0.002
"95","200",TRUE,0,0,0.001
"100","200",TRUE,0,0,0.005
"101","200",TRUE,0,0,0.012
"115","200",TRUE,0,0,0.003
"130","200",TRUE,0,0,0.002
"135","200",TRUE,0,0,0.007
"140","200",TRUE,0,0,0.04
"145","200",TRUE,0,0,0.008
"150","200",TRUE,0,0,0.001
"155","200",TRUE,0,0,0.005
"160","200",TRUE,1,1,0.998
"165","200",TRUE,0,0,0.001
"2","205",TRUE,0,0,0.019
"20","205",TRUE,0,0,0.005
"31","205",TRUE,0,0,0
"41","205",TRUE,0,0,0
"42","205",TRUE,0,0,0
"51","205",TRUE,0,0,0
"52","205",TRUE,0,0,0
"53","205",TRUE,0,0,0
"70","205",TRUE,0,0,0
"80","205",TRUE,0,0,0
"90","205",TRUE,0,0,0
"91","205",TRUE,0,0,0
"92","205",TRUE,0,0,0
"93","205",TRUE,0,0,0
"94","205",TRUE,0,0,0
"95","205",TRUE,0,0,0
"100","205",TRUE,0,0,0.001
"101","205",TRUE,0,0,0
"115","205",TRUE,0,0,0.001
"130","205",TRUE,0,0,0
"135","205",TRUE,0,0,0
"140","205",TRUE,0,0,0.001
"145","205",TRUE,0,0,0
"150","205",TRUE,0,0,0
"155","205",TRUE,0,0,0.001
"160","205",TRUE,0,0,0
"165","205",TRUE,0,0,0.001
"200","205",TRUE,0,0,0.066
"2","210",TRUE,0,0,0
"20","210",TRUE,0,0,0
"31","210",TRUE,0,0,0
"41","210",TRUE,0,0,0
"42","210",TRUE,0,0,0.001
"51","210",TRUE,0,0,0.001
"52","210",TRUE,0,0,0.001
"53","210",TRUE,0,0,0
"70","210",TRUE,0,0,0
"80","210",TRUE,0,0,0.001
"90","210",TRUE,0,0,0.001
"91","210",TRUE,0,0,0.001
"92","210",TRUE,0,0,0
"93","210",TRUE,0,0,0.001
"94","210",TRUE,0,0,0.001
"95","210",TRUE,0,0,0.002
"100","210",TRUE,0,0,0.001
